X,Y,Z
0.05676734,-0.12061310000000001,0.50560218
0.08727497,-0.06223869,0.21921724
0.07944953,-0.01386356,0.13817883
-0.00999796,0.03210449,-0.01242119
0.01619822,-0.01450825,0.09260678
0.11262509,0.01403999,0.03316373
-0.03235629,-0.00376987,0.06266087
-0.06506097,-0.02214146,0.04655534
-0.03042626,0.01543713,-0.01529986
0.01923174,0.0183382,-0.06079644
0.09938392,0.0059166,-0.00355279
0.01779914,0.00254154,-0.01998121
-0.0219937,-0.01352024,-0.02051944
0.04603201,0.01171875,-0.02035016
-0.02823812,-0.00630093,0.01271623
-0.02140802,-0.00468826,0.05630869
0.03928378,0.00290394,-0.02999395
-0.06924903,-0.00613308,-0.01035267
-0.06960374,0.01602459,-0.04527169
0.10458368,-0.02165699,0.0371691
0.07707405,0.02493858,-0.00255102
-0.11922681,-0.008708,-0.03511089
0.10800681,0.00097752,0.05015248
-0.0192762,0.00055695,-0.02811247
-0.07041734,0.00161266,-0.03895527
0.09036016,0.01225471,0.07959110000000001
-0.05809408,0.00048351,-0.02391976
-0.06256992,-0.01931667,0.006631199999999999
-0.00448805,-0.00889492,0.00533998
0.030397000000000004,0.00159073,0.01770836
-0.13019335,-0.01416492,-0.0893752
0.20870946,0.05267429,-0.02632362
0.06461614,0.05954838,-0.00575042
-0.16401643,-0.12814903,0.00787675
0.01834995,0.03134632,0.02488935
0.04427671,-0.01677895,0.09075511
0.02305341,0.00026226,0.01275599
-0.14233559,-0.028407099999999998,-0.02855921
0.08929282,0.02911949,-0.01373911
-0.00322449,0.00747395,-0.02363598
0.06082314,0.00866604,0.02986324
-0.07873267,-0.01830578,0.05398792
0.12989217,0.03439426,-0.03711718
0.08398789,0.01384449,0.03741211
-0.20217788,-0.03736115,-0.13948557
-0.01289165,0.047148699999999995,-0.13767934
-0.08369529,-0.025720599999999996,-0.12397449999999999
0.00451171,0.00638008,-0.05476642
-0.00299966,-0.02880383,0.02195197
0.01291543,-0.01479626,0.19846004
-0.04073572,-0.02583981,0.32073236
0.08089519,0.00143147,0.11717963
0.02889824,-0.01430225,-0.00501931
0.11348504,0.04164791,-0.15174179999999998
0.02074033,-0.00586414,-0.12761497
-0.03501463,-0.00074863,-0.04579467
-0.22025645,0.00537586,0.02837825
-0.05126315,0.02090836,-0.14798236
0.16063899,-0.02031994,0.0444693
-0.09469831,-0.02275658,-0.01972634
0.1085093,-0.02554226,0.05846441
0.02428535,0.02292919,0.07798159
-0.09458983,-0.02956295,0.0945915
0.04611051,-0.02908421,0.00383961
-0.12135762,-0.0126152,0.09322989
-0.01670676,0.0165472,-0.05489355
0.11871412,0.03116226,-0.05451894
0.06790662,0.00020409,-0.12596571
-0.09569424,-0.01741314,-0.03141999
-0.07389563,0.00176334,-0.00368124
-0.03853166,-0.00227833,0.01540959
0.14080626,0.02829838,0.06890422
-0.19693881,-0.02984238,-0.11324596
-0.00433594,-0.01895618,0.03620362
0.11746371,0.04480171,-0.07764494
-0.06606364,-0.03159046,-0.01101023
0.1045182,0.02246571,0.02461535
0.09044689,-0.00410557,0.16995227
0.02248371,-0.00624943,0.07479107
0.02845746,0.0081358,0.00355017
-0.11463362,-0.03603077,-0.04417264
