time,pulse
7.581868,792
7.598496,713
7.61514,618
7.631764,525
7.648404,444
7.665028,382
7.681672,341
7.698308,322
7.714948,325
7.73158,348
7.748212,384
7.764844,428
7.781484,471
7.798124,510
7.814748,540
7.831372,555
7.848004,556
7.864628,543
7.881252,522
7.897888,494
7.914532,467
7.931156,441
7.947796,422
7.964432,412
7.981076,422
7.9977,469
8.01434,556
8.03098,668
8.047628,772
8.06426,848
8.080884,874
8.097524,848
8.114164,780
8.130804,686
8.147428,582
8.164068,482
8.180708,399
8.197348,336
8.21398,296
8.230616,283
8.247252,297
8.263892,332
8.280524,378
8.297164,431
8.3138,478
8.330444,517
8.347076,540
8.363716,547
8.380356,537
8.396996,517
8.413628,494
8.430264,472
8.4469,454
8.46354,439
8.480164,431
8.4968,431
8.513436,454
8.530076,511
8.546708,603
8.563348,704
8.57998,790
8.59662,837
8.613244,833
8.629868,782
8.646496,697
8.663132,598
8.679764,500
8.696396,414
8.71302,346
8.72966,299
8.746292,277
8.762924,278
8.77956,303
8.796204,346
8.812828,401
8.82946,457
8.8461,507
8.86274,544
8.879372,563
8.895996,562
8.912644,545
8.929292,518
8.945924,487
8.962548,456
8.979184,428
8.995828,407
9.012468,396
9.0291,397
9.04574,425
9.06238,492
9.079012,593
9.095652,703
9.112288,796
9.128932,846
9.145572,847
9.162212,799
9.178852,719
9.195492,622
9.212124,522
9.228764,434
9.2454,362
9.26204,311
9.278684,286
9.295308,288
9.311944,314
9.328588,356
9.345228,407
9.361852,456
9.378488,501
9.395128,534
9.411772,552
9.428396,554
9.445044,543
9.461684,524
9.478316,500
9.494956,476
9.511604,454
9.528244,438
9.544876,428
9.5615,435
9.578148,474
9.594776,551
9.61142,652
9.628044,751
9.644684,823
9.661308,853
9.67794,837
9.694564,780
9.711204,697
9.727832,602
9.744476,509
9.7611,425
9.777724,354
9.794372,307
9.811012,287
9.827652,296
9.844292,329
9.860928,376
9.877556,429
9.894196,482
9.91082,527
9.927456,557
9.9441,569
9.960724,566
9.977348,551
9.993996,528
10.010636,501
10.027312,472
10.043988,445
10.060668,428
10.077356,427
10.094036,460
10.11072,535
10.127404,639
10.144084,750
10.160764,835
10.17744,876
10.194124,866
10.210804,812
10.227488,725
10.244172,625
10.260848,529
10.277528,444
10.294204,376
10.310884,333
10.327564,317
10.344244,324
10.360924,355
10.3776,394
10.39428,435
10.410956,468
10.42764,493
10.444316,510
10.460996,518
10.47768,521
10.49436,523
10.51104,524
10.527716,524
10.5444,522
10.561076,522
10.577756,523
10.594436,546
10.611116,604
10.6278,694
10.644492,795
10.661168,880
10.677844,926
10.69452,924
10.711204,877
10.72788,794
10.744564,690
10.761248,581
10.777924,478
10.7946,386
10.811276,317
10.827964,274
10.84464,258
10.86132,266
10.878004,296
10.894684,344
10.91136,396
10.92804,448
10.94472,492
10.961396,517
10.97808,526
10.99476,517
11.011436,499
11.028124,475
11.0448,453
11.061484,430
11.07816,409
11.094844,402
11.111528,432
11.128204,508
11.144888,616
11.161564,725
11.178248,809
11.194924,848
11.211604,838
11.228288,783
11.244964,700
11.261648,605
11.278332,507
11.295016,423
11.311692,373
11.328372,361
11.345056,371
11.361732,395
11.37842,424
11.3951,454
11.41178,483
11.428456,508
11.445132,530
11.46182,540
11.4785,539
11.495184,526
11.511868,499
11.528548,461
11.545232,417
11.561912,375
11.578596,345
11.595276,330
11.61196,346
11.628644,411
11.645324,521
11.662008,658
11.678688,786
11.695372,877
11.712052,913
11.728728,895
11.745412,830
11.762088,732
11.778768,618
11.795456,501
11.81214,391
11.828816,298
11.845496,229
11.862176,193
11.878856,191
11.895536,224
