ファイル,正解,レシピ1,レシピ2,レシピ3
subject2_file_457,0,1.8113607556010611,1.2255673913565608,0.7552129771987599
subject2_file_679,0,2.278831486959075,0.6085640333934059,1.2639317624685629
subject2_file_95,0,1.8399693935971082,2.140419393766768,1.2022874025373809
subject2_file_899,0,1.6791071045639665,1.6531162865142992,0.6484777517780098
subject2_file_368,0,2.105212045734554,1.891650442023779,1.1619553251155488
subject2_file_425,0,2.060924367529381,2.2439510881138776,1.1581808079654206
subject2_file_646,0,1.2734137031942006,0.8296191697650324,1.6101926054005666
subject2_file_52,0,1.7223664718694078,0.5285110313402329,1.1472917154865003
subject2_file_123,0,1.773912930931583,0.45618106665923613,1.7712448210994745
subject2_file_821,0,1.687046652171742,2.228060208043725,1.3421500417938317
subject2_file_641,0,2.1052550629098734,1.7342564297924303,1.0119989290215794
subject2_file_101,0,2.0158868408665933,2.1807533974134747,1.0461546016301404
subject2_file_880,0,3.0965882867012247,1.2129151042163724,1.234390419538863
subject2_file_743,0,2.008321381401458,1.3328034119676477,0.5095774227434173
subject2_file_485,0,1.967727647819046,0.3968413095741855,1.3769665955494723
subject2_file_92,0,1.1764916996292618,0.8887802358666341,1.4995587275398403
subject2_file_25,0,1.8816789342677622,1.4750018005949963,1.5850474732744084
subject2_file_180,0,1.484745622788051,1.8308048885941492,1.9632965257841462
subject2_file_586,0,1.2568848018041012,2.109319591288603,1.9802885246129864
subject2_file_453,0,2.0768194987148973,0.86080479904228,2.128654407083229
subject2_file_308,0,1.6340565392525155,1.5014498548679889,0.5244891575453123
subject2_file_263,0,1.6819513851222732,0.3706529854261439,1.6166675908976011
subject2_file_847,0,1.9809076027349897,0.5703834297083838,0.8594306442022073
subject2_file_723,0,1.9919037354522826,2.116284348509702,1.0542153784704018
subject2_file_565,0,1.1750376673866971,2.6120243107295136,1.0643727511650443
subject2_file_37,0,2.056414023011718,1.5199067198293188,1.3215619790652409
subject2_file_325,0,1.5839514564620032,0.8901311407818269,1.5508434419565056
subject2_file_792,0,1.4017666375253728,1.0293719831106989,1.5172206077423618
subject2_file_872,0,0.6762746194018527,1.1842300163564794,1.6477670428944777
subject2_file_831,0,1.5775621686959278,2.077160802005932,1.4850646136965775
subject2_file_1,0,1.7151664715255437,2.182760655425787,1.4197872959343887
subject2_file_257,0,1.7042207256280437,1.7700143270390785,1.687295781548425
subject2_file_540,0,1.4086132628666432,1.0838398524345882,1.3274485758214503
subject2_file_635,0,1.101541881565832,1.1618239124896836,1.3442653792028016
subject2_file_803,0,1.95533577297511,1.7029917981820644,1.094417457894639
subject2_file_172,0,0.7990248951223717,1.709133692969991,0.74886275905785
subject2_file_581,0,2.2080808054831067,1.8315440611400395,0.819192963426442
subject2_file_674,0,1.4964303012018918,1.8118740060814658,1.8907880115145428
subject2_file_138,1,1.685254541377771,0.920053193783557,0.1764335378304539
subject2_file_770,1,1.4602784078817832,1.4641568944417411,0.14659734141109879
subject2_file_4,1,0.6346847400937299,1.6803675168756786,0.13392856568972994
subject2_file_464,1,1.211579657000646,1.7442213894794767,0.9833048871032974
subject2_file_409,1,1.2245975872617034,2.1150898364242714,0.9288546096831085
subject2_file_218,1,1.5100225034455408,1.4032425937171562,1.4012963643086112
subject2_file_749,1,1.1175621856657818,1.5694056350272834,1.4568210815489806
subject2_file_452,1,1.9069021117190883,0.19308358011234428,1.6009353481079542
subject2_file_517,1,1.230474546494868,1.9380519526483995,0.4364623965551526
subject2_file_709,1,1.9571196485293003,1.6876912527337165,0.20835629356387947
subject2_file_650,1,1.4355912639497237,0.9147205378353667,1.4401828105916374
subject2_file_96,1,2.0951760705964135,1.5256680445775646,1.1186969335572383
subject2_file_500,1,1.206944193100982,2.1693431958268437,1.2195656441032279
subject2_file_832,1,2.0425069150216126,1.192624237642906,0.3590192851610211
subject2_file_980,1,2.097866103770578,1.6978765546500674,1.4168785770679744
subject2_file_923,1,2.1470109805018556,0.42297821672949676,0.9190841805389783
subject2_file_314,1,1.4682343743146966,1.689509519359218,0.7165952791951034
subject2_file_731,1,1.6064639515572638,1.948423035874175,0.24100017399081008
subject2_file_592,1,2.527264737042189,1.1798744105597727,0.7956152928556428
subject2_file_129,1,2.0845350314742515,1.829176775231606,1.2178597157537434
subject2_file_549,1,1.9306526469084153,1.3641078808091849,2.1354199816838415
subject2_file_17,1,1.0436392469693534,1.622451464885947,2.2160444493376685
subject2_file_49,1,1.45883952391686,0.22257981228232795,2.179661346905739
subject2_file_402,1,1.7523494676186773,1.5164999273919393,0.5316522458418498
subject2_file_526,1,1.858487992670533,1.5533813594343269,0.3421160967126968
subject2_file_942,1,1.7683706403901633,1.724935819954851,0.36843947603292987
subject2_file_724,1,1.806340378391418,1.6922753921736742,0.1768296734120642
subject2_file_74,1,2.409250956485506,1.1405405067753958,1.1431722668338147
