device_time_stamp,system_time_stamp,left_gaze_point_on_display_area_x,left_gaze_point_on_display_area_y,left_gaze_point_in_user_coordinate_system_x,left_gaze_point_in_user_coordinate_system_y,left_gaze_point_in_user_coordinate_system_z,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system_x,left_gaze_origin_in_user_coordinate_system_y,left_gaze_origin_in_user_coordinate_system_z,left_gaze_origin_in_trackbox_coordinate_system_x,left_gaze_origin_in_trackbox_coordinate_system_y,left_gaze_origin_in_trackbox_coordinate_system_z,left_gaze_origin_validity,right_gaze_point_on_display_area_x,right_gaze_point_on_display_area_y,right_gaze_point_in_user_coordinate_system_x,right_gaze_point_in_user_coordinate_system_y,right_gaze_point_in_user_coordinate_system_z,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system_x,right_gaze_origin_in_user_coordinate_system_y,right_gaze_origin_in_user_coordinate_system_z,right_gaze_origin_in_trackbox_coordinate_system_x,right_gaze_origin_in_trackbox_coordinate_system_y,right_gaze_origin_in_trackbox_coordinate_system_z,right_gaze_origin_validity
11231243019,351458491856,0.6131024956703186,1.3127588033676147,62.43257522583008,-71.59089660644531,-32.893985748291016,1,3.6338958740234375,1,-44.28756332397461,-82.6741714477539,425.7527770996094,0.6382956504821777,0.7583578824996948,0.07192163169384003,1,0.5557551383972168,1.297984004020691,30.77688217163086,-67.27991485595703,-31.324899673461914,1,3.5332489013671875,1,16.507841110229492,-87.32274627685547,428.4485778808594,0.448469877243042,0.7711789011955261,0.07513647526502609,1
11231260671,351458509508,0.6131287813186646,1.3132591247558594,62.44708251953125,-71.73685455322266,-32.94711685180664,1,3.655792236328125,1,-44.6126823425293,-82.76596069335938,425.1346740722656,0.6395153403282166,0.7590213418006897,0.07081567496061325,1,0.5565676689147949,1.2878378629684448,31.225341796875,-64.31954956054688,-30.24741554260254,1,3.5510101318359375,1,16.007396697998047,-87.45218658447266,428.0895690917969,0.44998353719711304,0.7718090415000916,0.07444793730974197,1
11231276800,351458525636,0.450623482465744,1.2930961847305298,-27.255840301513672,-65.85377502441406,-30.805843353271484,1,3.6541595458984375,1,-45.70281219482422,-82.89018249511719,425.0813903808594,0.6429478526115417,0.7594429850578308,0.07098498195409775,1,0.4748373031616211,1.2661482095718384,-13.889836311340332,-57.991031646728516,-27.944049835205078,1,3.6046295166015625,1,14.992012977600098,-87.50453186035156,428.0408935546875,0.45313674211502075,0.7720028758049011,0.074301578104496,1
11231292985,351458541821,0.36440470814704895,1.2765194177627563,-74.84859466552734,-61.01712417602539,-29.04544448852539,1,3.5817413330078125,1,-46.17970657348633,-82.72032928466797,424.22198486328125,0.6447349190711975,0.7594358325004578,0.0693434476852417,1,0.38853439688682556,1.25390625,-61.529029846191406,-54.41917419433594,-26.644014358520508,1,3.5115509033203125,1,14.280143737792969,-87.34471130371094,427.4662780761719,0.45529162883758545,0.7718709707260132,0.07306457310914993,1
11231310585,351458559421,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.21204620599746704,1.2771528959274292,-158.9505157470703,-61.201927185058594,-29.112714767456055,1,3.587646484375,1,12.9224271774292,-87.2533187866211,428.03076171875,0.45957422256469727,0.7712277770042419,0.07404907047748566,1
11231326844,351458575680,0.230071023106575,1.2910487651824951,-149.0008087158203,-65.25639343261719,-30.588420867919922,1,3.5446929931640625,1,-48.02813720703125,-82.89633178710938,424.8875427246094,0.6503009796142578,0.7595807313919067,0.07110943645238876,1,0.18586906790733337,1.2913802862167358,-173.40028381347656,-65.35320281982422,-30.623641967773438,1,3.6084442138671875,1,12.088384628295898,-87.17910766601562,428.2834167480469,0.46219122409820557,0.7708368897438049,0.07446673512458801,1
11231342853,351458591689,0.23164187371730804,1.2870910167694092,-148.13368225097656,-64.10162353515625,-30.16809844970703,1,3.5263671875,1,-48.3286247253418,-82.96036529541016,424.9707336425781,0.6512130498886108,0.7597304582595825,0.07136260718107224,1,0.18560747802257538,1.2950127124786377,-173.54466247558594,-66.41301727294922,-31.00937271118164,1,3.59991455078125,1,11.699584007263184,-87.16651916503906,428.4337158203125,0.4634128510951996,0.7707026600837708,0.07473498582839966,1
11231360501,351458609337,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.19008593261241913,1.313262939453125,-171.07257080078125,-71.73794555664062,-32.947509765625,1,3.6014251708984375,1,11.05388069152832,-87.2003173828125,428.6272277832031,0.46543529629707336,0.7706853747367859,0.07509399205446243,1
11231376654,351458625490,0.21711954474449158,1.3315261602401733,-156.14999389648438,-77.0667495727539,-34.88698959350586,1,3.4234161376953125,1,-49.48741149902344,-83.45807647705078,425.5849304199219,0.6546202898025513,0.7609126567840576,0.07301037758588791,1,0.20743493735790253,1.3177348375320435,-161.4959259033203,-73.0427474975586,-33.42239761352539,1,3.564178466796875,1,10.548885345458984,-87.37551879882812,429.2318115234375,0.46705034375190735,0.7708473205566406,0.0763234868645668,1
11231392819,351458641655,0.2207103818655014,1.3502967357635498,-154.1678466796875,-82.54350280761719,-36.88039779663086,1,3.434326171875,1,-49.715049743652344,-83.54972839355469,425.95697021484375,0.6551967263221741,0.7609710693359375,0.07382263243198395,1,0.1940663605928421,1.3095184564590454,-168.87539672851562,-70.64540100097656,-32.54983901977539,1,3.60540771484375,1,10.370412826538086,-87.50653839111328,429.7532653808594,0.4676430821418762,0.7709243893623352,0.07738885283470154,1
