,1,2,3,4,5,6,7,8,9,10,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.047619047619047616,0.0,0.06666666666666667,0.0,0.0,0.5,1.0,0.0,0.08,0.16142857142857142,0.16142857142857142
recall,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.08,0.08,0.08
f1-score,0.0,0.0,0.07692307692307693,0.0,0.1,0.0,0.0,0.28571428571428575,0.33333333333333337,0.0,0.08,0.07959706959706961,0.07959706959706961
support,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.08,50.0,50.0
